name,category,lat,lon,website
Visit Gainesville,Other,29.6519,-82.3248,https://www.visitgainesville.com/events/
Alachua County Library District,Library,29.6515,-82.3244,https://attend.aclib.us/
Cade Museum,Museum,29.644,-82.316,https://cademuseum.org/events/
Florida Museum of Natural History,Museum,29.6381,-82.3692,https://www.floridamuseum.ufl.edu/calendar/
Harn Museum of Art,Museum,29.637,-82.3698,https://harn.ufl.edu/calendar/
UF Performing Arts,Arts,29.6365,-82.3693,https://performingarts.ufl.edu/events/
Depot Park,Park,29.644,-82.317,https://www.depotpark.org/events-calendar
GainesvilleShows.com,Music,29.6516,-82.3248,https://www.gainesvilleshows.com/
Heartwood Soundstage,Music,29.645,-82.324,https://www.heartwoodsoundstage.com/shows
Glory Days Presents,Music,29.6516,-82.3248,https://glorydayspresents.com/
Hippodrome Theatre,Arts,29.6513,-82.3244,https://thehipp.org/
Florida Gators,Sports,29.6499,-82.3486,https://floridagators.com/calendar
City of High Springs,Other,29.8269,-82.5968,https://www.highsprings.gov/calendar
City of Alachua,Other,29.7936,-82.4937,https://www.cityofalachua.com/460/Upcoming-Events-Activities
Santa Fe College,University,29.6806,-82.4385,https://www.showpass.com/o/santa-fe-college/
Celebration Pointe,Other,29.6263,-82.4363,https://www.celebrationpointe.com/events/
Greater Gainesville Chamber Community Events,Other,29.6514,-82.3248,https://members.gainesvillechamber.com/events/catgid/3
City of Gainesville Events Directory,Other,29.6516,-82.3248,https://www.gainesvillefl.gov/Events-directory
Alachua County Meetings & Events,Other,29.6516,-82.3248,https://alachuacounty.us/events/Pages/default.aspx
Gainesville Community Events,Other,29.6516,-82.3248,https://www.facebook.com/groups/340899276022383/
Gainesville Community Events and Activities,Other,29.6516,-82.3248,https://www.facebook.com/groups/407955152009284/
Things To Do Gainesville Group,Other,29.6516,-82.3248,https://www.facebook.com/groups/252086775528419/_join_/
Things To Do Gainesville Group (alt URL),Other,29.6516,-82.3248,https://www.facebook.com/groups/thingstodogainesville/
Gainesville Events Facebook Page,Other,29.6516,-82.3248,https://www.facebook.com/GainesvilleEvents/
Fun 4 Gator Kids Calendar,Other,29.6516,-82.3248,https://fun4gatorkids.com/Calendar
Mainstreet Daily News Events,Other,29.6516,-82.3248,https://www.mainstreetdailynews.com/events
103.7 The Gator Community Update,Other,29.6434,-82.3551,https://1037thegator.com/community-calendar-2/
Eventbrite Alachua Events,Other,29.7936,-82.4937,https://www.eventbrite.com/d/fl--alachua/events/
Eventbrite Gainesville Events,Other,29.6516,-82.3248,https://www.eventbrite.com/d/fl--gainesville/events/
Visit Gainesville Events,Other,29.6519,-82.3248,https://www.visitgainesville.com/events/
Visit Gainesville Festivals & Special Events,Other,29.6519,-82.3248,https://www.visitgainesville.com/festivals/
Celebration Pointe Events,Other,29.6263,-82.4363,https://www.celebrationpointe.com/events/
Depot Park Events Calendar,Park,29.6438,-82.3217,http://www.depotpark.org/events-calendar
High Dive,Music,29.652,-82.324,https://highdivegville.com
